Key,English Text,Arabic Text
BUTTON.LABEL.BACK,Back,رجوع
BUTTON.LABEL.SUBMIT,Submit,إرسال
LABEL.ABOUT,About,عن الوحدة
LABEL.ABSENT,Absent,خارج الطابور
LABEL.ACCEPT,Accept,علم
LABEL.ACCEPTED,Accepted,علم
LABEL.ACTION,Action,الإجراء
LABEL.ACTIONS,Actions,اجراء
LABEL.ACTIVEENDDATE,Active End Date,تاريخ انتهاء التفعيل
LABEL.ACTIVESTARTDATE,Active Start Date,تاريخ بدء التفعيل
LABEL.ADDCOMMENT,Add Comment,إضافة ملاحظة
LABEL.ADDEDAT,Added at,تم التحديث في
LABEL.ADDMEMBER,Add Member,إضافة عضو
LABEL.ADDUSER,Add Users,إضافة مستخدم
LABEL.AED,AED,درهم
LABEL.ALIASNAME,Alias Name,الإسم المستعار
LABEL.ALL,All,الكل
LABEL.ALLDAY,All day,طوال اليوم
LABEL.ALLFOLDERS,All Folders,ملفاتي
LABEL.NEW.ARTICLE,New Article,مقال جديد
LABEL.EDIT.ARTICLE,Edit Article,تعديل المقال
LABEL.ARTICLE.SUBTITLE,Please fill the following information,يرجى ملء المعلومات التالية
LABEL.TITLE,Title,العنوان
LABEL.SUBJECT,Subject,الموضوع
LABEL.LEVEL,Level,المستوى
LABEL.TYPE,Type,النوع
LABEL.INSTITUTION,Institution,المؤسسة
LABEL.FACULTY,Faculty,الكلية
LABEL.RECOMMENDATIONS,Recommendations,التواصي
LABEL.ALLOWANCES,Allowances,العلاوات
LABEL.APPLY,Apply,عرض
LABEL.APPROVE,Approve,إعتماد
LABEL.APPROVED.MESSAGE,Approved,معتمد
LABEL.APPROVER,Approver,المعتمد
LABEL.APPROVERREQUIRED,Is Approver Required?,هل يتطلب الإعتماد؟
LABEL.AREYOUSURE,Are you sure?,هل أنت متأكد؟
LABEL.ASSIGNED,Received Tasks,مهام كلفت بها
LABEL.ASSIGNEDTOGROUP,Assigned To Group,مسندة إلى مجموعة
LABEL.ASSIGNEDTOUSER,Assigned To User,مسندة إلى مستخدم
LABEL.ASSIGNEE,Assignee,المُكَلَّف
LABEL.ASSIGNME,Assign to me,مسندة لي
LABEL.ASSIGNTOOTHERS,Assign to others,تكليف الآخرين
LABEL.ASTUPDATE,Last Update,آخر تحديث
LABEL.ATTACHMENTS,Attachments,المرفقات
LABEL.ATTEND,Attend,حضور
LABEL.ATTENDED,Attended,حضر
LABEL.ATTENDEETYPE,Attendee Type,فئة الحضور
LABEL.AUDITFILE,Activity Log,سجل التحديثات
LABEL.AVAILABLE,Available,متاحة
LABEL.BENEFICIARY,Beneficiary,المستفيد
LABEL.BOOKINGDATE,Booking Date,تاريخ الإجتماع أو الحجز
LABEL.BOOKNUMBER,Book number,رقم الكتاب
LABEL.BOTH,Both,الكل
LABEL.BY,by,بواسطة
LABEL.CALENDAR,Calendar,التقويم السنوي
LABEL.CANCEL,Cancel,إلغاء
